user_id,sex,weight,activity_date,calories,average_cadence,average_temp,distance,elev_high,elev_low,max_heartrate,max_speed,moving_time,total_elevation_gain,average_speed,variance_speed,std_speed,average_heartrate,variance_heartrate,std_heartrate
18933919,M,67,2018-10-05T15:23:19Z,294,82.8,26,4550.6,437.2,360.6,160,4.6,1363,79,3.35,0.05,0.21,147,17.06,4.13
18933919,M,67,2018-10-06T13:57:44Z,405,84.8,28,6722.2,315.4,299,175,7.4,1701,15,3.95,0.1,0.31,161.88,61.4,7.84
18933919,M,67,2018-10-07T06:31:54Z,1066,87.6,16,21127.5,305.6,283.2,172,5.7,4866,56,4.36,0.02,0.14,156.04,51.77,7.2
18933919,M,67,2018-10-11T15:58:04Z,623,82.2,23,9233,463.6,379.6,179,4.7,2589,98,3.54,0.14,0.37,163.48,73.04,8.55
18933919,M,67,2018-10-16T15:40:31Z,680,85.7,21,12034.2,434.8,426.4,179,5.1,2789,6,4.3,0.04,0.21,168.78,95.65,9.78
18933919,M,67,2018-10-18T16:46:37Z,745,83.9,19,12316.6,520.6,415,178,5,3238,120,3.77,0.06,0.24,159.65,111.29,10.55
18933919,M,67,2018-10-20T08:17:24Z,1127,86.1,19,19542.3,489.8,321.6,179,4.9,4797,141,4.09,0.14,0.37,164.89,102.57,10.13
18933919,M,67,2018-10-23T10:08:04Z,527,85.3,18,10371.3,513.8,378.4,168,5.4,2491,140,4.17,0.11,0.33,148.7,67.13,8.19
18933919,M,67,2018-10-23T16:00:53Z,279,83.5,17,5785.5,609.8,462.6,144,4.8,1677,179,3.52,0.19,0.43,129.91,85.26,9.23
18933919,M,67,2018-10-25T10:06:55Z,424,82.1,21,6631.2,435.2,374.2,163,5.3,2073,64,3.47,0.58,0.76,145.94,93.82,9.69
18933919,M,67,2018-09-25T17:06:01Z,754,86.1,20,13773,320.8,308.6,179,6.1,3377,3,4.09,0.07,0.27,158.17,127.52,11.29
18933919,M,67,2018-09-26T16:31:52Z,320,82.5,23,6671,415.6,344.8,147,4.8,1943,77,3.44,0.03,0.17,129.37,74.19,8.61
18933919,M,67,2018-10-02T16:55:42Z,491,84.7,17,9792.4,355.6,346.2,164,5.5,2548,5,3.86,0.13,0.35,144.2,43.98,6.63
18933919,M,67,2018-09-29T08:14:39Z,1110,84.5,22,18591.5,672.2,358.2,176,6.1,5405,355,3.5,0.16,0.4,152.78,104.56,10.23
18933919,M,67,2018-09-27T16:17:12Z,765,86.3,23,16246.3,421.2,317.8,161,6.9,4015,127,4.05,0.19,0.43,146.04,26.42,5.14
18933919,M,67,2018-09-11T15:19:36Z,924,87,30,16131.2,405.8,304.8,175,5.5,4084,131,3.91,0.27,0.52,159.74,146.58,12.11
18933919,M,67,2019-01-01T10:44:17Z,789,84.3,17,11513.2,291.8,175,189,4.7,3207,132,3.6,0.06,0.24,167.44,175.65,13.25
18933919,M,67,2019-01-03T11:08:30Z,554,85.1,14,9524.7,327.2,184.4,166,4.7,2514,156,3.8,0.05,0.23,154.41,45.92,6.78
18933919,M,67,2019-01-05T15:10:56Z,715,85,16,12320,171.8,157,176,5,3037,22,4.05,0.08,0.29,165.08,165.59,12.87
18933919,M,67,2019-01-08T16:35:11Z,783,82.7,16,12211.8,312.8,219.2,undefined,4.5,3282,134,3.72,0.06,0.24,0,0,0
18933919,M,67,2019-01-09T10:45:58Z,822,85.2,10,15151.5,212,200.4,170,5.3,3857,20,3.96,0.07,0.27,153.48,53.58,7.32
18933919,M,67,2019-01-06T11:56:29Z,584,82.9,14,10009.3,283.8,193.4,171,5,2790,114,3.51,0.1,0.31,150.75,157.77,12.56
18933919,M,67,2019-01-13T10:26:29Z,396,82.6,19,7034.7,357,270.4,176,4.4,2214,161,3.14,0.06,0.25,140.91,129.45,11.38
18933919,M,67,2019-01-12T09:08:24Z,986,86.2,10,17027.2,217.8,197.8,185,5.2,4057,28,4.12,0.28,0.53,172.78,90.78,9.53
18933919,M,67,2019-01-15T17:26:42Z,666,83.3,15,12383.6,224.2,213.6,163,4.5,3258,10,3.79,0.06,0.24,149.71,95.29,9.76
18933919,M,67,2019-01-10T16:24:49Z,629,82.6,13,10110.4,216.8,206.2,178,5,2755,20,3.6,0.11,0.33,160.46,96.87,9.84
18933919,M,67,2019-01-18T16:31:35Z,488,82.2,15,9201.1,458.8,251.6,168,4.1,2801,241,3.29,0.1,0.32,138.67,136.88,11.7
18933919,M,67,2019-01-16T11:25:07Z,248,64.6,21,4499.2,276.2,232.2,144,3.1,2612,43,1.78,0.22,0.46,93.81,459.78,21.44
18933919,M,67,2019-01-16T17:23:02Z,803,85.2,10,17595.8,232.2,219.6,163,6.2,4367,15,4.06,0.13,0.36,147.35,37.94,6.16
18933919,M,67,2019-01-19T11:04:14Z,1062,85.5,11,18149.9,223.8,200.6,183,5.3,4406,43,4.11,0.14,0.37,169.79,75.1,8.67
18933919,M,67,2019-01-20T11:09:53Z,441,82.4,14,8009.2,358.2,260.2,160,4.8,2368,158,3.29,0.26,0.51,141.59,44.04,6.64
18933919,M,67,2019-01-23T11:20:24Z,610,82.8,15,10701.4,298,225.2,165,4.9,2890,118,3.74,0.1,0.32,151.18,25.23,5.02
18933919,M,67,2019-01-24T11:22:13Z,590,84.7,17,11295.2,284.2,188,164,5,2822,135,4.06,0.11,0.33,149.79,15.22,3.9
18933919,M,67,2019-01-27T10:52:36Z,476,82.8,16,8501.1,309.8,253.6,157,4.7,2458,97,3.47,0.05,0.23,141.54,100.09,10
18933919,M,67,2019-01-26T10:25:32Z,1150,85.5,11,21707.5,291.6,181.6,174,5.1,5395,56,4.04,0.07,0.26,154.74,105.43,10.27
18933919,M,67,2019-01-29T17:08:07Z,965,84.3,12,17058.1,236.2,215.4,176,5.7,4486,28,3.73,0.2,0.44,156.93,45.6,6.75
18933919,M,67,2019-01-22T17:11:30Z,1027,83.9,12,20520.2,233.8,216.4,177,5.4,5102,29,4.05,0.13,0.37,154.3,125.35,11.2
18933919,M,67,2019-01-31T10:56:06Z,524,82.2,18,10449.5,407.4,226.2,155,4.3,3757,212,2.81,0.04,0.2,125.47,89.26,9.45
18933919,M,67,2019-02-03T10:02:47Z,525,82.5,15,11469.1,303.4,202.4,158,6,3413,112,3.35,0.07,0.27,134.14,49.95,7.07
18933919,M,67,2019-02-02T09:16:13Z,1483,84.4,14,26350.2,233.6,204.6,175,5.1,6516,34,4.04,0.05,0.23,161.94,47.64,6.9
18933919,M,67,2019-02-05T15:32:13Z,727,83.3,12,12410.3,195,180,174,5.3,3114,27,3.97,0.07,0.26,161.45,127.88,11.31
18933919,M,67,2019-01-30T17:40:03Z,657,83.6,16,11884.5,325.6,227.8,171,4.8,3094,101,3.86,0.06,0.25,150.27,140.19,11.84
18933919,M,67,2019-02-08T16:15:44Z,551,81.6,14,11101.1,191.4,183.2,149,4.3,3187,21,3.45,0.03,0.18,135.56,9.18,3.03
18933919,M,67,2019-02-06T16:23:08Z,0,85.3,12,20428,200.6,186.6,167,5,4993,18,4.09,0.25,0.5,154.91,26.83,5.18
18933919,M,67,2019-02-10T09:07:30Z,458,81.6,17,8534.6,366,292.4,155,4.6,2589,93,3.31,0.03,0.19,137.68,37.21,6.1
18933919,M,67,2019-02-21T10:59:00Z,669,81.6,19,8683.2,331.4,252.2,175,8,3065,101,2.94,0.26,0.51,154.77,43.89,6.62
18933919,M,67,2019-02-19T10:53:13Z,418,82.3,18,6529.7,330,259.6,undefined,4.5,2069,72,3.29,0.29,0.54,0,0,0
18933919,M,67,2019-02-23T15:17:43Z,763,84.1,16,13314.6,340,244.2,168,5.4,3483,142,3.8,0.16,0.4,153.28,28.9,5.38
18933919,M,67,2019-02-24T14:07:35Z,365,80.8,19,6767.6,332.2,282.8,150,5.5,2008,57,3.39,0.04,0.19,136,45.48,6.74
18933919,M,67,2019-02-27T11:16:33Z,523,84.8,19,10130.8,375.4,237.4,176,4.9,2506,122,4.07,0.11,0.33,151.19,60.42,7.77
18933919,M,67,2019-02-09T10:16:25Z,1351,85.7,14,24584,187.8,175.4,182,5.3,5964,29,4.15,0.15,0.39,164.35,219.06,14.8
18933919,M,67,2019-03-02T09:23:04Z,833,83.9,18,14165.7,242.2,221.8,175,4.9,3630,23,3.89,0.11,0.33,158.05,142.47,11.94
18933919,M,67,2019-03-03T15:31:20Z,588,83.4,19,11005.3,275.4,258.2,176,4.9,2854,22,3.79,0.55,0.74,151.14,280.81,16.76
18933919,M,67,2019-03-23T09:36:47Z,780,81.5,19,12006.5,404.4,386.6,undefined,4.2,3398,21,3.48,0.07,0.27,0,0,0
18933919,M,67,2019-04-12T16:48:02Z,588,77,15,5458.1,1119.2,428.6,172,3.6,3134,673,1.86,0.12,0.35,146.13,142.19,11.92
18933919,M,67,2019-04-17T17:57:53Z,496,77.5,18,5600.7,1094.6,417.4,158,3.6,3136,676,1.92,0.18,0.42,138.78,66.78,8.17
18933919,M,67,2019-03-01T11:52:55Z,637,83.9,16,11230.7,390.6,244,185,9.5,2850,176,4.03,0.18,0.42,156.4,156.61,12.51
18933919,M,67,2019-03-06T16:35:39Z,712,83.6,20,12153,321.8,309.6,175,9.9,2987,35,4.02,0.08,0.28,162.54,104.19,10.21
18933919,M,67,2019-03-09T10:28:51Z,797,84.3,17,14102.1,322,310,179,5.4,3452,15,4.08,0.09,0.3,161.44,143.26,11.97
18933919,M,67,2019-04-18T16:37:21Z,477,82.3,22,8256.1,721,457.8,176,3.8,2828,308,2.96,0.09,0.3,136.25,196.8,14.03
18933919,M,67,2019-04-27T08:52:26Z,653,86.2,18,12188.9,380,367.6,168,4.6,3124,17,3.88,0.1,0.32,152.87,76,8.72
18933919,M,67,2019-04-30T13:25:35Z,681,84.7,23,11267.2,493,386.2,177,5.3,3046,129,3.68,0.15,0.39,161.09,104.06,10.2
18933919,M,67,2019-05-05T09:40:18Z,633,84.1,15,12081.8,432.8,415.8,158,4.6,3247,34,3.72,0.03,0.18,146.78,15.79,3.97
18933919,M,67,2019-05-07T10:12:48Z,282,73.9,18,2803.3,1144.6,450,144,4.2,1826,694,1.56,0.02,0.15,127.22,7.49,2.74
18933919,M,67,2019-05-07T10:44:25Z,264,89.2,19,2863.2,1145,453.4,156,3.9,1294,0,2.26,0.07,0.26,143.73,27.35,5.23
18933919,M,67,2019-04-24T16:18:57Z,568,82.2,17,8890.6,629,441.2,167,6.6,2699,200,3.31,0.05,0.23,152.28,65.17,8.07
18933919,M,67,2019-04-22T14:02:42Z,660,82.9,26,12022.3,407.6,396.2,160,4.4,3351,16,3.57,0.01,0.11,148.71,57.21,7.56
18933919,M,67,2019-05-03T15:54:14Z,597,85.1,18,12092,421.8,410.2,159,5.2,3158,13,3.83,0.06,0.25,144.85,45.84,6.77
18933919,M,67,2019-05-01T15:05:17Z,482,84.2,23,9008,658.6,475.6,165,5.3,2645,191,3.38,0.08,0.28,141.13,163.51,12.79
18933919,M,67,2019-05-08T14:41:22Z,701,85.9,19,12421,525,440.6,172,5.2,3272,95,3.79,0.09,0.31,153.6,118.82,10.9
18933919,M,67,2019-05-11T09:12:10Z,666,88.3,21,12063.8,419.8,412.6,169,5.3,3057,10,3.89,0.11,0.32,154.09,75.7,8.7
18933919,M,67,2019-05-12T10:32:24Z,655,79,18,5561,1131,434.8,179,3.8,3256,696,1.85,0.19,0.43,151.59,126.03,11.23
18933919,M,67,2019-05-15T15:22:30Z,527,83.4,21,11611.3,408.4,399.8,149,4.2,3631,23,3.19,0.01,0.08,129.56,23.47,4.84
18933919,M,67,2019-05-18T08:09:12Z,947,86.7,20,16546.7,402.8,390.6,178,5.3,3991,15,4.14,0.06,0.25,166.23,58.16,7.63
18933919,M,67,2019-05-22T10:14:38Z,775,85.4,26,13412.3,536,401.6,175,4.9,3416,171,3.96,0.09,0.29,161.58,53.04,7.28
18933919,M,67,2019-05-19T09:04:27Z,510,83.8,18,8271.8,505.6,452.6,180,4.8,2597,97,3.21,0.17,0.41,144.85,56.85,7.54
18933919,M,67,2019-05-30T09:24:48Z,691,83.7,23,11992.5,799.4,457,170,4.7,3564,359,3.42,0.17,0.41,147.38,73.57,8.58
18933919,M,67,2019-05-25T09:14:10Z,883,86.3,21,16383.9,406.2,395.2,165,5.2,4027,11,4.08,0.12,0.35,155.44,36.42,6.03
18933919,M,67,2019-05-23T10:19:01Z,583,79.1,23,5559.1,1106.2,423.8,175,4.3,3052,657,1.97,0.21,0.45,145.16,97.9,9.89
18933919,M,67,2019-05-10T10:18:47Z,678,86,22,12549.3,572,438.6,166,6.1,3299,174,3.84,0.11,0.34,149.62,21.89,4.68
18933919,M,67,2019-05-31T07:23:44Z,712,86.2,20,12378,417.8,411,184,5.7,3148,14,3.95,0.16,0.41,158.94,138.65,11.78
18933919,M,67,2019-06-11T10:09:28Z,700,85.3,17,12510.9,566.8,471,172,5.9,3222,134,3.91,0.07,0.26,153.88,112.67,10.61
18933919,M,67,2019-06-09T09:02:29Z,718,84.9,17,12022.6,571.4,470.6,168,4.6,3187,105,3.7,0.14,0.38,156.3,54.47,7.38
18933919,M,67,2019-06-20T10:06:38Z,690,85.2,25,12405.2,615,482,172,4.8,3250,166,3.85,0.07,0.27,153.05,44.79,6.69
18933919,M,67,2019-06-28T04:30:31Z,714,84.7,24,12404.6,562.4,467.6,173,8,3231,90,3.84,0.05,0.23,154.33,86.11,9.28
18933919,M,67,2019-06-25T04:02:36Z,683,84.1,22,12029.6,575.6,476.6,175,4.9,3229,94,3.65,0.2,0.44,149.72,32.07,5.66
18933919,M,67,2019-06-08T10:01:47Z,654,86.1,23,12322.1,446.8,436.2,167,5.4,3076,15,4,0.12,0.35,151.99,71.25,8.44
18933919,M,67,2019-06-06T15:01:54Z,822,83.5,20,12614.5,909.4,479.8,170,5,3882,441,3.33,0.21,0.46,150.34,136.09,11.67
18933919,M,67,2019-06-18T16:37:14Z,899,83.6,26,12803.5,976,536,178,4.6,4088,454,3.24,0.29,0.54,154.57,84.21,9.18
18933919,M,67,2019-06-15T09:36:12Z,923,85.9,24,16585.4,495,482.6,184,5.5,4171,18,3.99,0.06,0.25,158.75,283.36,16.83
18933919,M,67,2019-06-13T10:18:43Z,762,85.5,26,12539.3,711.4,490.6,176,8.3,3427,277,3.7,0.11,0.34,160.64,114.2,10.69
18933919,M,67,2019-06-22T14:24:16Z,933,84.8,28,16527.4,473.8,459.4,180,5.1,4151,27,3.98,0.05,0.22,160.22,110.52,10.51
18933919,M,67,2019-06-04T16:54:57Z,970,84.9,28,16575,451.6,436.8,177,4.8,4126,18,4.02,0.02,0.13,161.88,210.59,14.51
18933919,M,67,2019-07-12T04:50:34Z,870,84.2,20,16373,259.2,209,180,4.7,4606,175,3.58,0.1,0.32,150.13,115.53,10.75
18933919,M,67,2019-07-10T07:07:58Z,752,83.1,23,12034.5,819.8,486.8,182,4.4,3822,361,3.2,0.12,0.35,147.13,188.49,13.73
18933919,M,67,2019-07-14T08:16:24Z,723,85.3,27,13285.4,400,324.6,180,5.4,3402,132,3.94,0.09,0.29,155.11,97.84,9.89
18933919,M,67,2019-07-16T04:40:47Z,757,85.1,15,13460.5,356.6,248.2,167,4.9,3556,120,3.84,0.14,0.37,150.44,133.12,11.54
18933919,M,67,2019-07-18T16:03:32Z,238,82.8,30,3802.4,504.4,467.4,undefined,4.6,1682,35,2.3,0.08,0.29,0,0,0
18933919,M,67,2019-07-04T05:14:17Z,714,85.4,22,12491.9,480.4,469,168,4.7,3221,4,3.92,0.08,0.28,154.73,60.05,7.75
18933919,M,67,2019-07-01T04:21:38Z,911,84.5,21,16456.3,460.2,442.4,181,5.3,4210,11,3.94,0.08,0.28,152.26,56.07,7.49
18933919,M,67,2019-07-09T05:30:25Z,985,84.6,22,16617.3,465,444.8,173,5,4263,11,3.9,0.03,0.19,158.57,86.73,9.31
18933919,M,67,2019-07-02T07:53:20Z,705,83.1,26,12054.9,843,505,162,4.4,3802,366,3.23,0.13,0.36,141.12,117.64,10.85
18933919,M,67,2019-07-06T05:24:11Z,857,85.3,23,16477.9,474.8,459.6,164,5.3,4235,14,3.91,0.1,0.31,148.05,38.99,6.24
18933919,M,67,2019-07-18T05:28:20Z,634,84.9,19,12175.9,427,408.2,158,5.8,3173,11,3.83,0.14,0.38,146.2,49.4,7.03
18933919,M,67,2019-07-22T05:02:05Z,774,82.7,23,12005.3,750.6,416.8,168,4.8,3802,356,3.22,0.18,0.43,145.78,191.05,13.82
18933919,M,67,2019-07-20T08:23:16Z,701,84.9,27,16142.7,399.2,386.4,161,5.6,4112,24,3.91,0.18,0.43,138.48,80.73,8.98
18933919,M,67,2019-07-25T08:11:18Z,544,82.5,30,10065,447.4,342.8,159,4.3,2984,127,3.35,0.03,0.17,138.36,77.37,8.8
18933919,M,67,2019-08-01T13:00:41Z,576,74.6,27,5496.6,936.8,263.6,178,3.3,3389,667,1.74,0.14,0.38,132.82,616.4,24.83
18933919,M,67,2019-07-28T09:57:58Z,488,86.4,20,10047.3,303.4,292,169,5.8,2292,9,4.28,0.14,0.37,151.04,36.93,6.08
18933919,M,67,2019-08-10T08:59:53Z,125,81.9,25,3001.8,172.4,168,145,4.4,875,5,3.46,0.1,0.31,119.86,146.02,12.08
18933919,M,67,2019-07-26T05:31:30Z,935,85.3,24,16856.9,355.8,334,179,5.4,4140,20,4.13,0.2,0.45,162.79,245.18,15.66
