id,sex,year,week,dist_week(km),time_week(s),elevation_week(m),nb_run_week,calories_week
5821400,M,2019,6,63.6539,18390,657.7,4,3944
5821400,M,2019,7,25.360799999999998,6908,136.60000000000002,2,1309
5821400,M,2019,8,95.0546,27108,693.3,7,5492
5821400,M,2019,9,61.4774,17757,521.6,5,3510
5821400,M,2019,11,64.27080000000001,17978,314.9,4,3521
5821400,M,2019,10,81.1444,22151,600.1,7,5248
5821400,M,2019,1,39.3682,11666,321.6,3,2163
5821400,M,2019,12,102.5897,29377,788.7,6,5640
5821400,M,2019,14,110.57910000000001,30435,864.8,6,6478
5821400,M,2019,15,77.76010000000001,21469,716.4,5,4315
5821400,M,2019,16,49.046299999999995,13642,241.1,4,2591.6
5821400,M,2019,17,42.6262,9757,120.8,1,3082
5821400,M,2019,18,46.7279,13698,380.4,5,3409
5821400,M,2019,19,33.6734,9621,228.2,3,1884
5821400,M,2020,36,12.0033,3453,22.2,1,757
5821400,M,2019,13,120.2434,33766,812.2,7,6367
5821400,M,2020,37,47.4918,14318,384.40000000000003,5,2801
5821400,M,2020,39,57.7738,17303,489.20000000000005,4,3150
5821400,M,2020,40,57.1268,16431,468.9,4,3961.3
5821400,M,2020,38,40.3614,11617,253,3,2440
5821400,M,2019,5,48.324799999999996,13681,375.79999999999995,5,3463.4
5821400,M,2020,41,56.4696,16572,643.5,4,3264
5821400,M,2019,3,53.2524,15044,222,4,2935
5821400,M,2020,42,62.0646,17933,463.2,5,3662
5821400,M,2020,43,71.6482,20250,218,5,3896
5821400,M,2020,44,66.929,18874,128.8,5,4103
5821400,M,2020,45,61.9172,17899,119.5,5,3199
5821400,M,2020,46,37.3228,10600,67.2,3,2001
5821400,M,2020,48,59.7396,16709,187.3,5,3173
5821400,M,2020,47,60.4936,16779,130.6,4,3192
5821400,M,2020,50,34.4378,9886,79.3,2,1697
5821400,M,2021,22,73.3511,28109,1316.6000000000001,4,5737
5821400,M,2021,24,110.8432,32081,700.6999999999999,8,5903
5821400,M,2021,25,60.182900000000004,17090,345.1,4,2949
5821400,M,2021,21,32.6462,9672,72,3,1751
5821400,M,2021,26,73.5094,21547,792.6,6,4364
5821400,M,2021,23,67.74969999999999,19416,255,9,3501
5821400,M,2021,27,69.1344,20163,1067.7,6,3460
5821400,M,2021,28,63.5027,18470,483.5,5,3248
5821400,M,2020,49,48.2138,14003,302.7,6,2600
5821400,M,2021,30,42.7304,13359,441.7,3,2517
5821400,M,2021,29,92.0717,26306,672.8,6,5287
5821400,M,2021,32,109.94749999999999,31165,1004.4,6,5503
5821400,M,2021,33,115.2218,32252,996.8,6,5688
5821400,M,2021,31,83.9749,24493,590,7,4000
5821400,M,2021,34,84.4469,28034,1823.6,5,5720
5821400,M,2021,36,116.8119,33124,856.3,7,6863
5821400,M,2021,35,104.62870000000001,30287,855.8,7,5820
5821400,M,2021,39,42.4907,10122,64.7,1,3064
5821400,M,2021,37,75.5458,20735,780,5,4348
5821400,M,2021,40,26.5776,7419,162,3,1434
