average_cadence;average_heartrate;average_speed;average_temp;calories;distance;max_heartrate;max_speed;moving_time;total_elevation_gain
92.4;0;3.718;16;348;4558;0;7.6;1226;8
75.4;0;2.812;17;1689;21462;0;4.8;7631;729
81.3;131.7;2.959;24;591;10013.4;176;5.4;3384;188
88.4;0;3.235;17;1087;14013;0;6.3;4332;256.6
90.4;0;3.339;17;830;10655;0;6.2;3191;154
88.4;0;3.156;19;831;10679;0;4.4;3384;149
85.7;0;2.554;23;798;10721;0;6.5;4197;362
89.8;0;3.348;20;642;8173;0;6.2;2441;53
83.6;0;2.199;19;844;11660;0;7.4;5302;583
82;136.3;3.09;22;624;10010.4;158;5.6;3240;185
83.9;139.2;3.366;21;616;10008.4;157;5.2;2973;8
82.9;144.3;3.022;18;707;9847.4;169;4.3;3259;186
83.5;138.8;3.031;16;668;9826.7;159;4.5;3242;189
81.8;0;2.308;19;3344;45807.3;0;6.7;18302;2468.9
81.1;109.1;2.562;21;195;4475.3;151;4;1747;11
0;96.9;2.505;23;125;3990.7;139;4.5;1593;9
90.9;0;3.419;18;618;7962;0;5.8;2329;160
91.3;0;3.652;14;1963;25315.4;0;5.8;6932;353.8
82.5;133.7;3.002;24;569;9846.8;161;5.7;3280;183
82.4;137.2;3.027;26;578;9851.1;160;5;3254;184
82.7;131.1;2.965;21;291;4759.4;165;4.5;1605;10
82.2;135.2;2.849;23;617;9997.7;159;5.3;3509;182
84.9;143.3;3.401;24;628;10011.3;160;4.3;2944;6
83.8;140.1;3.359;23;631;10023.3;154;5.6;2984;6
85.5;146.3;3.503;21;622;10007.4;160;4.8;2857;9
82.1;133.4;2.945;25;608;9991.2;160;5.3;3393;186
0;147.9;3.614;24;481;8009.3;159;5.2;2216;7
82.7;134;2.954;26;450;7068.8;161;4.4;2393;79
81.5;132.3;2.84;22;607;9997.9;216;4.7;3521;185
83.7;138.9;3.196;27;615;10005.3;165;4.4;3131;7
85.7;148.9;3.658;23;300;5011.8;167;5.6;1370;3
82.5;137.3;2.979;23;647;10002.6;154;5.1;3358;186
85.9;144.7;3.569;18;309;5010.5;170;5.6;1404;3
0;121.1;3.075;28;113;2125.1;140;11.2;691;10
85.6;149.6;3.635;20;333;5008.5;158;4.6;1378;3
82.5;122.7;2.957;22;257;4875.8;156;4.8;1649;10
81.5;122.3;2.734;18;269;4642.6;153;4.4;1698;8
86.5;149.4;3.682;18;316;5010.9;166;4.8;1361;1
0;130.1;3.066;20;306;5040.2;136;5.3;1644;5
81;127.9;2.746;22;315;5066.9;219;4;1845;78
85.7;156.4;3.67;21;656;10060;178;4.9;2741;11
81.4;136.2;2.876;22;641;10015.8;152;5.3;3482;183
84.6;143.2;3.323;22;522;8007.7;163;4.3;2410;4
82.5;152.9;3.039;19;630;8133.5;170;5.2;2676;245
82;131.1;2.933;21;438;7056.1;158;4.8;2406;78
83.1;121.2;2.793;25;63;1134.1;141;3.8;406;5
82.1;116.1;2.681;22;232;4614.2;138;3.9;1721;8
81.9;129;2.874;23;568;9902.8;167;5.1;3446;195
85.7;143.7;3.523;23;460;7281.1;155;5.4;2067;2
84.9;137.7;3.343;23;496;8013.4;150;4.2;2397;5
84.2;141;3.376;21;642;10009.3;151;4.8;2965;11
82.4;132.3;2.97;22;594;9945.8;162;4.2;3349;187
82.5;134.9;2.95;24;595;9810.5;170;4.4;3326;182
85.8;146.8;3.685;22;296;5015.8;163;4.6;1361;4
83.7;139.8;3.252;18;639;10021.5;153;5.8;3082;5
84.6;144.1;3.348;22;643;10006.6;157;4.9;2989;7
85.2;144.7;3.508;16;641;10095;160;4.9;2878;10
82.7;134.4;2.988;17;617;9849.9;161;5.3;3296;190
81.8;135.4;2.79;25;525;8097;150;4.3;2902;181
84.5;147.2;3.409;20;605;9010.3;158;4.4;2643;5
82.1;125.9;2.986;24;293;5165.4;140;6.9;1730;33
85.2;153.2;3.64;23;532;8008.6;160;6.5;2200;5
82.8;140.8;3.067;22;649;9715.9;165;5.3;3168;188
81.7;132.5;2.969;22;600;10045;147;6.4;3383;187
81.9;136.5;2.922;16;638;10047.1;154;4.6;3438;194
82.7;133.5;3.159;20;431;7066.3;155;4.5;2237;78
83.7;137.9;3.323;21;449;7064.1;153;5.2;2126;15
90.3;0;3.316;0;807.3;9895.8;0;5;2984;23
92;0;3.469;0;1120.5;13641.2;0;6.5;3932;102.4
93.1;0;3.73;0;1375.6;16697.2;0;5.8;4477;125.7
81;110.4;2.673;23;306;7235.7;131;3.9;2707;21
93.4;0;3.534;0;1291.1;15826.8;0;7.7;4479;40.5
87.8;0;3.158;0;314.6;3839.7;0;4.3;1216;9.9
96.1;0;4.034;0;720.5;8825.6;0;5.9;2188;21.9
92.9;0;4.003;0;1279;15684.7;0;5.6;3918;36.8
90.5;0;3.657;0;1068.2;13052.7;0;6.7;3569;76.9
89;0;3.48;0;1043.9;12754.9;0;7.3;3665;79.3
91.2;0;3.597;0;1091.1;13295.6;0;5.5;3696;98.3
89.7;0;3.535;0;740.7;9020.8;0;6.8;2552;63.5
95.6;0;3.762;0;741.5;8821.1;0;6.6;2345;130.3
92.5;0;3.666;0;1046.3;12806.1;0;4.8;3493;38.5
92.3;0;3.501;0;1075.2;13067.8;0;4.7;3733;86.1
90.8;0;3.567;0;1307.7;15978.5;0;14.4;4480;70.4
91.6;0;3.602;0;1245.7;15175.6;0;6.4;4213;111.5
90.5;0;3.608;0;1028.4;12557.5;0;5.6;3480;80.7
90.6;0;3.479;0;913.5;11177.3;0;4.5;3213;48.2
91.1;0;3.555;0;1369.5;16695.9;0;6.1;4697;115.6
93.5;0;3.657;0;659.9;8097.4;0;4.4;2214;16.1
92.9;0;3.866;0;1093.3;13151;0;5.6;3402;113.8
89;0;3.165;0;544.7;6647.4;0;6;2100;45.2
92.4;0;3.68;0;655.5;8004;0;6.8;2175;50.6
91.5;0;3.619;0;823.1;10081.3;0;4.7;2786;33.1
83.4;135.3;3.074;19;325;5022.7;156;4.2;1634;5
92;0;3.55;0;1184.6;14454;0;6;4071;90.9
91;0;3.596;0;824.5;10106;0;4.7;2810;31
93.4;0;4.051;0;818.1;10022.2;0;5.1;2474;36.4
87.4;0;2.974;0;1128.1;13807.3;0;3.9;4643;36.2
89.6;0;3.547;0;1282.5;15661.5;0;7.4;4415;101.3
90.6;0;3.603;0;1207;14716;0;6.1;4084;96.6
88.9;0;3.58;0;1085;13263.9;0;5.6;3705;69.5
90.8;0;3.642;0;1286.4;15674.2;0;6.3;4304;110.7
94.1;0;3.971;0;1115.6;13657.4;0;5;3439;33.6
88.7;0;3.23;0;1196.3;13073.3;0;10.4;4048;362.9
92.2;0;3.532;0;1153.1;14079.5;0;6.3;3986;83.3
92.8;0;3.76;0;1038.6;12705.6;0;5.1;3379;39.9
95.7;0;3.927;0;842.7;9388.8;0;5.2;2391;264.8
90.6;0;3.548;0;1164.1;14187;0;6.5;3999;94
93.6;0;3.648;0;1047.5;12819.2;0;4.7;3514;34.9
89.7;0;3.419;0;986.8;12054.2;0;7.2;3526;69.6
92.4;0;3.702;0;925.1;11098.7;0;4.5;2998;106.1
90.1;0;3.029;0;776.9;9529.4;0;4.9;3146;19.9
89.9;0;3.126;0;28.7;353.2;0;3.3;113;0
93.7;0;3.861;0;1184.3;14524.8;0;5.3;3762;28.1
93.8;0;3.834;0;1278.5;15686.8;0;5.7;4092;30.4
87.2;0;2.999;0;1305.2;13300.9;0;5.2;4435;390.2
93.1;0;3.72;0;1159.4;13931.8;0;6.3;3745;124.3
85.5;0;3.323;0;739.8;9039.8;0;8.3;2720;50.6
86.6;0;3.232;0;870.8;10636.7;0;8.4;3291;58.4
86.9;0;3.34;0;954;11662.1;0;7;3492;61.8
90.2;0;3.548;0;875.3;10544.2;0;7;2972;93
0;0;3.004;0;692;9370.2;0;4.3;3119;19.8
0;0;3.572;0;123.6;14097.7;0;5.5;3947;49.3
87.2;0;3.148;0;898.8;10997.1;0;7.7;3493;48.8
92.9;0;3.757;0;759.2;9314.1;0;5;2479;22.3
97;0;5.501;0;133.7;1578.9;0;7.2;287;28.2
88.2;0;3.331;0;900.2;10985.1;0;7.4;3298;63.5
91.6;0;3.608;0;803.1;9644.4;0;7.3;2673;89.6
87.3;0;3.322;0;872.2;10650.8;0;8.7;3206;63.1
88.7;0;2.995;0;1123.1;12946.9;0;5;4323;257.6
91.2;0;3.453;0;1014.3;12178.2;0;5.7;3527;121
92.7;0;3.386;0;1051.4;12599;0;5.5;3721;120.1
96;0;5.774;0;135.5;1657;0;7;287;10.7
88;0;2.993;0;865.8;10617.2;0;4.2;3547;28.7
88.1;0;3.357;0;890.2;10867.5;0;7;3237;60.4
90.7;0;3.281;0;979.1;11524.3;0;5.1;3512;183.1
91.9;0;3.585;0;665.8;8169.8;0;7.7;2279;17.4
91.7;0;3.513;0;1027.8;12580.1;0;4.9;3581;34.9
90.9;0;3.551;0;1233.2;14742.6;0;6.2;4152;160.4
89.3;0;3.06;0;1228.3;13940.5;0;5.4;4556;301.7
90.1;0;2.994;0;1350;15454.4;0;4.3;5162;324.1
92.2;0;3.566;0;1059;12945.3;0;4.4;3630;44
87.9;0;3.288;0;969.8;11855;0;7.8;3606;65.5
90.2;0;3.641;0;1292.5;15860.6;0;5.3;4356;30.7
89;0;3.249;0;1059.9;12574.3;0;5.2;3870;170.1
92.6;0;3.977;0;650.7;8121.5;0;5.3;2042;18.8
90.6;0;3.492;0;740.1;9036.4;0;4.7;2588;41.8
89.2;0;3.224;0;883.9;10524;0;5.6;3264;156.7
90.7;0;3.583;0;634.5;7738.4;0;6.4;2160;35.5
91.2;0;3.648;0;973.3;11621.6;0;5.5;3186;150.7
91.1;0;3.666;0;695.5;8425.5;0;6.4;2298;88.2
89.8;0;3.602;0;635.5;7668.7;0;5.9;2129;70.7
88.9;0;3.151;0;804.3;9806.2;0;6.4;3112;42.7
92;0;3.737;0;1351.4;16556.6;0;5.6;4431;66.9
93.3;0;3.839;0;892.5;10687.7;0;4.9;2784;104.5
90.5;0;3.502;0;811.6;9536.9;0;4.9;2723;143.9
88.8;0;3.277;0;899.1;10825.5;0;5;3303;119.1
91.3;0;3.443;0;1290.9;15584.2;0;5.3;4527;115.5
93.6;0;3.847;0;1310;16078.5;0;5.5;4180;29.7
93;0;3.736;0;1297;15913.3;0;5.2;4260;34.5
90.9;0;3.464;0;714;9976.9;0;4.5;2880;99.3
88.8;0;3.154;0;1310.2;12910.9;0;5.6;4094;425.7
92;0;3.696;0;637;8870.1;0;4.4;2400;27.6
91.2;0;3.644;0;662.7;8133.9;0;5.1;2232;14.8
93.3;0;3.675;0;1329.7;16300.9;0;5.3;4436;47.9
91;0;3.357;0;840.7;10058.3;0;4.7;2996;100.2
88.7;0;3.331;0;1086.9;13270.9;0;7.2;3984;73.8
90.2;0;3.503;0;1169.1;13744;0;7;3923;206
90.3;0;3.204;0;1093.1;12929.2;0;5;4035;187.1
94;0;3.886;0;1112;15718.5;0;5.2;4045;30.3
89.4;0;3.153;0;1184.9;13550.4;0;5.2;4297;300.3
90.8;0;3.424;0;1149.2;13853.6;0;6.1;4046;118.7
93.9;0;3.617;0;1183.5;14522.9;0;5.4;4015;27.4
